Church Name,City,State,Size,Denomination
Calvary Ph7oenix,Phoenix,AZ,4000,Calvary Churches
Calvary Tucson,Tucson,AZ,5000,"Independent, Nondenominational"
Casas Church,Tucson,AZ,2100,Southern Baptist Convention
Victory Assembly,Tucson,AZ,5000,Assemblies of God
Vineyard Christian Fellowship of North Phoenix,Glendale,AZ,4100,Vineyard
North Scottsdale Christian,Scottsdale,AZ,1700,Assemblies of God
Highlands Church,Scottsdale,AZ,3500,"Independent, Nondenominational"
Kingdom in the Valley Christian Church,Litchfield Park,AZ,3300,CHRISTIAN
La Casa de Cristo Lutheran Church,Scottsdale,AZ,2000,Lutheran (unspecified)
Living Streams Church,Phoenix,AZ,2000,Unknown (unspecified)
Love International Ministries,Phoenix,AZ,4200,"Independent, Nondenominational"
Mission Community Church,Gilbert,AZ,6195,Unknown (unspecified)
North Phoenix Baptist Church,Phoenix,AZ,2350,Southern Baptist Convention
Northwest Community Church,Phoenix,AZ,2500,"Independent, Nondenominational"
Palm Valley Community Church,Litchfield Park,AZ,2500,"Independent, Nondenominational"
Palmcroft Baptist Church,Phoenix,AZ,2000,CBA
Pantano Christian Church,Tucson,AZ,2455,CHRISTIAN
Dream City Church,Phoenix,AZ,20000,Assemblies of God
Pilgrim Rest Baptist Church,Phoenix,AZ,2200,Baptist (unspecified)
Radiant Church,Surprise,AZ,6359,Assemblies of God
Redemption Church,Tempe,AZ,4500,"Independent, Nondenominational"
Scottsdale Bible Church,Scottsdale,AZ,6234,"Independent, Nondenominational"
Spring of Life Christian Church,Mesa,AZ,2100,Unknown (unspecified)
Sun Valley Community Church,Gilbert,AZ,8500,"Independent, Nondenominational"
The Heights Church,Prescott,AZ,3000,CBA
The Living Word Bible Church,Mesa,AZ,4427,Unknown (unspecified)
The River of Life Church,Phoenix,AZ,3500,Unknown (unspecified)
Faith Community Church,Tucson,AZ,2500,"Independent, Nondenominational"
Grace Community Church,Tempe,AZ,1800,"Independent, Nondenominational"
Willingdon Church,Burnaby,BC,5000,MEN
Willow Park Church,Kelowna,BC,2000,MEN
Broadway Church,Vancouver,BC,2100,Unknown (unspecified)
Trinity Baptist Church,Kelowna,BC,2200,American Baptist
Northview Community Church,Abbotsford,BC,2700,MEN
Mount Calvary Baptist Church,Fairfield,CA,3800,Southern Baptist Convention
Neighborhood Church of Redding,Redding,CA,2500,Christian & Missionary Alliance
New Birth Church,Pittsburg,CA,2000,Unknown (unspecified)
New Covenant Community Church,Fresno,CA,1900,Baptist General Conference
New Harvest Christian Fellowship,Norwalk,CA,2000,Unknown (unspecified)
New Hope Missionary Baptist Church,San Bernardino,CA,3400,Baptist General Conference
New Life Center,Bakersfield,CA,2000,Four Square
New Life Church,Alamo,CA,2150,Assemblies of God
New Life Community Church,Pismo Beach,CA,2367,Church of the Nazarene
New Venture Christian Fellowship,Oceanside,CA,2001,Unknown (unspecified)
New Vision Church,Milpitas,CA,2300,Southern Baptist Convention
NewSong Church,Irvine,CA,2000,Evangelical Covenant
North Coast Calvary Chapel,Carlsbad,CA,6000,Calvary Churches
North Coast Church,Vista,CA,8906,Evangelical Free
North Valley Baptist Church,Santa Clara,CA,3000,"Independent, Nondenominational"
Northside Christian Church,Clovis,CA,2600,CHRISTIAN
Northwest Church,Fresno,CA,1800,Baptist General Conference
Oasis Church,Valley Village,CA,2000,Unknown (unspecified)
Orange Hills Assembly of God,Orange Hills,CA,2000,Assemblies of God
Oriental Mission Church,Los Angeles,CA,3800,CHRISTIAN
Paradise Alliance Church,Paradise,CA,2100,Christian & Missionary Alliance
Parkcrest Christian Church,Long Beach,CA,2500,"Independent, Nondenominational"
Peoples Church,Fresno,CA,4500,"Independent, Nondenominational"
Pomona First Baptist Church,Pomona,CA,4000,American Baptist
Rancho Community Church,Temecula,CA,2500,Reformed Church in America
Real Life Church,Valencia,CA,5105,"Independent, Nondenominational"
Reality,Carpinteria,CA,3000,"Independent, Nondenominational"
Revival Center Modesto,Modesto,CA,3000,"Independent, Nondenominational"
Revival Christian Fellowship,Menifee,CA,6000,"Independent, Nondenominational"
River of Life Christian Church,Santa Clara,CA,2950,"Independent, Nondenominational"
Riverlakes Community Church,Bakersfield,CA,2000,Unknown (unspecified)
Rock of Roseville,Roseville,CA,2000,Unknown (unspecified)
RockHarbor Church,Costa Mesa,CA,5000,"Independent, Nondenominational"
Rolling Hills Christian Church,El Dorado Hills,CA,2103,CHRISTIAN
Rolling Hills Covenant Church,Rolling Hills Estates,CA,3000,Evangelical Covenant
Saddleback Church,Lake Forest,CA,28000,Southern Baptist Convention
Saint Andrew’s Presbyterian Church,Newport Beach,CA,1833,"Presbyterian Church, U.S.A."
Saint John’s Lutheran Church,Orange,CA,2000,Lutheran (unspecified)
Victory Outreach Church San Diego,San Diego,CA,1800,Unknown (unspecified)
Victory Outreach Church,La Puente,CA,2000,Unknown (unspecified)
Visalia First Assembly of God,Visalia,CA,3247,Assemblies of God
Ward African Methodist Episcopal Church,Los Angeles,CA,8000,African Methodist Episcopal
Warehouse Ministry,Sacramento,CA,4000,"Independent, Nondenominational"
Water of Life Community Church,Fontana,CA,6371,"Independent, Nondenominational"
West Angeles Church of God in Christ,Los Angeles,CA,13000,Church of God in Christ
WestGate Church,San Jose,CA,2100,Unknown (unspecified)
Whittier Area Community Church,Whittier,CA,3000,Baptist General Conference
Yorba Linda Friends Church,Yorba Linda,CA,5000,Quaker
Newbreak,San Diego,CA,2171,Assemblies of God
Victorville First Assembly,Victorville,CA,1907,Assemblies of God
Thanksgiving Church,Buena Park,CA,1900,Assemblies of God
Calvary Chapel of Oceanside,Oceanside,CA,2500,Calvary Churches
Neighborhood Church/Three Crosses,Castro Valley,CA,2500,"Independent, Nondenominational"
Central Christian Church,Lancaster,CA,2200,"Independent, Nondenominational"
Christian Assembly Foursquare Church,Eagle Rock,CA,2600,Four Square
Christian Life Center,Stockton,CA,2600,United Pentecostal Church International
Christian Worship Center,Manteca,CA,2000,Assemblies of God
Christ’s Church of the Valley,San Dimas,CA,4825,CHRISTIAN
Church of the Harvest,Los Angeles,CA,2000,Evangelical
Hope Point,Yuba City,CA,2270,Church of the Nazarene
City of Refuge Church,Gardena,CA,6800,PENTE
Coast Hills Community Church,Aliso Viejo,CA,4000,"Independent, Nondenominational"
Heart Revolution Church,National City,CA,1800,"Independent, Nondenominational"
Cornerstone Church,Fresno,CA,3000,Assemblies of God
Cornerstone Community Church,Wildomar,CA,3200,"Independent, Nondenominational"
Cornerstone Community Church,Simi Valley,CA,5000,"Independent, Nondenominational"
Cornerstone Fellowship,Livermore,CA,5000,"Independent, Nondenominational"
Cottonwood Christian Center,Los Alamitos,CA,7000,"Independent, Nondenominational"
Covina Assembly of God,Covina,CA,2000,Assemblies of God
Crenshaw Christian Center,Los Angeles,CA,3000,"Church of God, Anderson"
Cross Word Christian Church,Riverside,CA,2000,"Independent, Nondenominational"
CrossPoint Community Church,Modesto,CA,2000,Baptist (unspecified)
Crossroads Christian Church,Corona,CA,8375,CHRISTIAN
Crossroads Church,Grass Valley,CA,2500,Unknown (unspecified)
Crossroads Community Church,Vallejo,CA,2100,Four Square
Crossroads Grace Community Church,Manteca,CA,1800,"Independent, Nondenominational"
Desert Chapel,Palm Springs,CA,3500,"Independent, Nondenominational"
Desert Vineyard Christian Fellowship,Lancaster,CA,5000,Vineyard
Destiny Church,Indio,CA,2593,"Independent, Nondenominational"
EastLake Church,Chula Vista,CA,6280,"Independent, Nondenominational"
Eastside Christian Church,Anaheim,CA,4345,CHRISTIAN
Emmanuel Faith Community Church,Escondido,CA,6500,"Independent, Nondenominational"
Faith Community Church,West Covina,CA,10000,"Independent, Nondenominational"
Faith Fellowship Foursquare Church,San Leandro,CA,2000,Four Square
Faithful Central Bible Church,Inglewood,CA,8000,Unknown (unspecified)
Family Community Church,San Jose,CA,3365,Assemblies of God
First African Methodist Episcopal Church,Los Angeles,CA,7600,African Methodist Episcopal
First Baptist Church of Elk Grove,Elk Grove,CA,3300,American Baptist
First Chinese Baptist Church,Los Angeles,CA,2200,Baptist (unspecified)
First Christian Church,Huntington Beach,CA,2860,CHRISTIAN
First Church of the Nazarene,Pasadena,CA,2184,Church of the Nazarene
First Covenant Church,Sacramento,CA,2000,Unknown (unspecified)
First Evangelical Free Church of Fullerton,Fullerton,CA,4500,Evangelical Free
CompassChurch,Salinas,CA,2400,ECO
Flood Church,San Diego,CA,2200,Unknown (unspecified)
Foothills Christian Fellowship,El Cajon,CA,2500,"Independent, Nondenominational"
Glide Memorial United Methodist Church,San Francisco,CA,3000,United Methodist Church
Golden Hills Community Church,Brentwood,CA,4000,Baptist General Conference
Grace Baptist Church,Santa Clarita,CA,2300,Baptist General Conference
Grace Brethren Church,Long Beach,CA,2000,Brethren
Grace Community Church,Sun Valley,CA,8000,"Independent, Nondenominational"
Saint Paul Baptist Church,Sacramento,CA,2000,Southern Baptist Convention
Sandals Church,Riverside,CA,3000,"Independent, Nondenominational"
Santa Cruz Bible Church,Santa Cruz,CA,2000,"Independent, Nondenominational"
Sarang Community Church,Anaheim,CA,8000,Presbyterian Church of America
Seacoast Grace Church,Cypress,CA,3290,"Independent, Nondenominational"
Shadow Mountain Community Church,El Cajon,CA,7513,Southern Baptist Convention
Shepherd of the Hills Church,Porter Ranch,CA,8675,CHRISTIAN
Shoreline Community Church,Monterey,CA,3500,"Independent, Nondenominational"
Skyline Wesleyan Church,La Mesa,CA,2500,Wesleyan
Sonrise Community Baptist Church,Santee,CA,2800,Baptist (unspecified)
South Hills Church,Corona,CA,2500,"Independent, Nondenominational"
Southwest Community Church,Indian Wells,CA,4500,Evangelical Free
Sunrise Church,Rialto,CA,5000,CBA
Templo Calvario Assembly of God,Santa Ana,CA,8750,Assemblies of God
The Bridge Bible Church,Bakersfield,CA,2100,"Independent, Nondenominational"
The Bridge,Fresno,CA,2000,Evangelical Free
The Church at Rocky Peak,Chatsworth,CA,2000,"Independent, Nondenominational"
The Church on the Way,Van Nuys,CA,9032,Four Square
The Crossing,Costa Mesa,CA,2000,"Independent, Nondenominational"
The Dream Center / Angelus Temple,Los Angeles,CA,8975,Four Square
The Father’s House,Vacaville,CA,3000,Unknown (unspecified)
The Grove Community Church,Riverside,CA,4500,"Independent, Nondenominational"
The Packinghouse Church,Redlands,CA,3800,"Independent, Nondenominational"
The Rock Church and World Outreach Center,San Bernardino,CA,14550,"Independent, Nondenominational"
The Rock Church of Sacramento,Elk Grove,CA,2000,Pentecostal (unspecified)
The Rock Church,San Diego,CA,18000,"Independent, Nondenominational"
The Rock,Anaheim,CA,3000,Four Square
The Well Community Church,Fresno,CA,3800,"Independent, Nondenominational"
Torrance First Presbyterian Church,Torrance,CA,2800,PRES
Trinity Evangelical Free Church,Redlands,CA,2800,Evangelical Free
Twin Cities Community Church,Grass Valley,CA,2100,Southern Baptist Convention
Twin Lakes Baptist Church,Aptos,CA,3500,Southern Baptist Convention
Valley Baptist Church,Bakersfield,CA,3266,Southern Baptist Convention
VBF Church,Bakersfield,CA,10000,"Independent, Nondenominational"
Valley Christian Center Church,Fresno,CA,1800,Four Square
Venture Christian Church,Los Gatos,CA,3600,"Independent, Nondenominational"
Grace Korean Church,Fullerton,CA,4000,Unknown (unspecified)
Greater Saint Paul Baptist Church,Oakland,CA,5300,National Baptist Convention
Harvest Christian Fellowship,Riverside,CA,14560,"Independent, Nondenominational"
Harvest Church,Elk Grove,CA,2200,Assemblies of God
Healing Word,Tustin,CA,3500,"Independent, Nondenominational"
High Desert Church,Victorville,CA,6313,"Independent, Nondenominational"
Hillside Community Church,Alta Loma,CA,2000,American Baptist
Horizon Christian Fellowship North County,Rancho Santa Fe,CA,4000,"Independent, Nondenominational"
Horizon Christian Fellowship,San Diego,CA,7000,"Independent, Nondenominational"
Iglesia Cristiana La Familia de Dios,Ontario,CA,1800,Baptist (unspecified)
Iglesia Cristiana Rios De Agua Viva,Pomona,CA,2500,Pentecostal (unspecified)
Ministerios Llamada Final,Downey,CA,3500,"Independent, Nondenominational"
Iglesia De Restauracion Inc.,Los Angeles,CA,4000,Evangelical
Iglesia Ni Cristo,Los Angeles,CA,2000,Church of Christ
Immanuel Baptist Church,Highland,CA,3000,Baptist (unspecified)
Inland Hills Church,Chino,CA,3001,Assemblies of God
Journey Community Church,La Mesa,CA,2300,"Independent, Nondenominational"
Journey of Faith,Manhattan Beach,CA,2000,CBA
Jubilee Christian Center,San Jose,CA,14000,Unknown (unspecified)
Knott Avenue Christian Church,Anaheim,CA,2208,CHRISTIAN
La Iglesia en el Camino,Van Nuys,CA,5000,Four Square
Lake Avenue Church,Pasadena,CA,5000,Unknown (unspecified)
Lakeside Church,Folsom,CA,3000,Unknown (unspecified)
Lancaster Baptist Church,Lancaster,CA,6000,Baptist (unspecified)
Life Church of God In Christ,Riverside,CA,4500,Church of God in Christ
Life Church,Irving,CA,2100,"Independent, Nondenominational"
Lifeway Church Ministries,Rancho Cucamonga,CA,2000,Unknown (unspecified)
Little Country Church,Redding,CA,3800,"Independent, Nondenominational"
Loma Linda University Church,Loma Linda,CA,3800,Seventh-day Adventist
Maranatha Chapel,San Diego,CA,6000,"Independent, Nondenominational"
Mariners Church,Irvine,CA,13567,"Independent, Nondenominational"
Menlo Park Presbyterian Church,Menlo Park,CA,3737,ECO
Mission Eben Ezer Family Church,Carson,CA,2750,Assemblies of God
Morningstar Christian Chapel,Whittier,CA,3000,"Independent, Nondenominational"
Abundant Life Christian Fellowship,Mountain View,CA,4500,"Church of God, Anderson"
Abundant Living Family Church,Rancho Cucamonga,CA,4000,"Independent, Nondenominational"
Acts Full Gospel Church of God In Christ,Oakland,CA,6000,Church of God in Christ
Adventure Christian Church,Roseville,CA,3659,CHRISTIAN
Agape International Center for Truth,Culver City,CA,2500,Religious Science
All Nations Church,Lakeview Terrace,CA,2000,Unknown (unspecified)
Allen Temple Baptist Church,Oakland,CA,5500,Progressive National Baptist
Arcade Baptist Church,Sacramento,CA,2000,CBA
Atascadero Bible Church,Atascadero,CA,3000,"Independent, Nondenominational"
Bay Area Christian Church,Palo Alto,CA,3500,"Independent, Nondenominational"
Bayside Church,Roseville,CA,20000,Evangelical Covenant
Bayside of South Sacramento,Sacramento,CA,2500,Evangelical Covenant
Bayview Baptist Church,San Diego,CA,1800,Baptist (unspecified)
Bel Air Presbyterian Church,Los Angeles,CA,2394,"Presbyterian Church, U.S.A."
Berendo Street Baptist Church,Los Angeles,CA,2000,Baptist (unspecified)
Bethany Slavic Missionary Church,Sacramento,CA,5700,"Independent, Nondenominational"
Bethel Church of San Jose,San Jose,CA,2200,Assemblies of God
Bethel Church,Irvine,CA,4300,Southern Baptist Convention
Bethel Church,Redding,CA,11000,"Independent, Nondenominational"
Big Valley Grace Community Church,Modesto,CA,3800,"Independent, Nondenominational"
Bonita Valley Community Church,Bonita,CA,2100,Assemblies of God
Bright Russian Baptist Church,West Sacramento,CA,2500,Baptist (unspecified)
Brookins Community AME Church,Los Angeles,CA,2000,African Methodist Episcopal
Calvary Bible Church,Burbank,CA,2600,"Independent, Nondenominational"
Calvary Bible Fellowship,Temecula,CA,2500,"Independent, Nondenominational"
Calvary Chapel Chino Valley,Chino,CA,8300,Calvary Churches
Calvary Chapel Golden Springs,Diamond Bar,CA,12000,Calvary Churches
Calvary Chapel La Habra,La Habra,CA,2100,Calvary Churches
Calvary Chapel Modesto,Modesto,CA,4000,Calvary Churches
Calvary Chapel Montebello,Montebello,CA,2500,Calvary Churches
Calvary Chapel of Costa Mesa,Santa Ana,CA,9500,Calvary Churches
Calvary Chapel of Vista,Vista,CA,3000,Calvary Churches
Calvary Chapel Rancho Santa Margarita,Rancho Santa Margarita,CA,2000,Calvary Churches
Calvary Chapel South Bay,Gardena,CA,9200,Calvary Churches
Calvary Chapel Westgrove,Garden Grove,CA,1800,Calvary Churches
Calvary Chapel,Santa Barbara,CA,2200,Calvary Churches
Calvary Chapel,Downey,CA,9000,Calvary Churches
Calvary Christian Center,Sacramento,CA,5500,"Independent, Nondenominational"
Calvary Church of Santa Ana,Santa Ana,CA,3100,"Independent, Nondenominational"
Calvary Community Church,Westlake Village,CA,3200,Calvary Churches
Calvary Murietta,Murietta,CA,2000,Calvary Churches
The House Modesto,Modesto,CA,5500,Assemblies of God
Calvary Temple,Concord,CA,2150,Assemblies of God
Campus Hill Church,Loma Linda,CA,2000,Seventh-day Adventist
Capital Christian Center,Sacramento,CA,4150,Assemblies of God
Capo Beach Calvary,Capistrano Beach,CA,2200,"Independent, Nondenominational"
Cathedral of Faith,San Jose,CA,7800,"Independent, Nondenominational"
Calvary Worship Center,Colorado Springs,CO,2000,"Independent, Nondenominational"
Canyon View Vineyard Church,Grand Junction,CO,4500,Vineyard
Cherry Hills Community Church,Highlands Ranch,CO,6250,Evangelical Presbyterian Church
Christ Community Church,Greeley,CO,2000,Evangelical Free
Church For All Nations,Colorado Springs,CO,2000,Unknown (unspecified)
Colorado Community Church Aurora,Aurora,CO,2500,"Independent, Nondenominational"
Colorado Community Church Englewood,Englewood,CO,4500,"Independent, Nondenominational"
Crossroads Church of Denver,Wheat Ridge,CO,4500,Unknown (unspecified)
Crossroads Church,Loveland,CO,2000,Unknown (unspecified)
Eastern Hills Community Church,Centennial,CO,2000,Christian Reformed Church
Mountain Springs Church,Colorado Springs,CO,3500,"Independent, Nondenominational"
New Life Church,Colorado Springs,CO,12000,"Independent, Nondenominational"
Northern Hills Christian Church,Brighton,CO,2000,"Independent, Nondenominational"
Potter’s House Church of Denver,Denver,CO,7800,"Independent, Nondenominational"
Red Rocks Church,Golden,CO,3200,Assemblies of God
Resurrection Fellowship,Loveland,CO,2500,"Independent, Nondenominational"
Rocky Mountain Calvary Chapel,Colorado Springs,CO,3500,Calvary Churches
Rocky Mountain Christian Church,Niwot,CO,2202,CHRISTIAN
Vineyard Church of the Rockies,Fort Collins,CO,2500,Vineyard
Woodmen Valley Chapel,Colorado Springs,CO,5500,"Independent, Nondenominational"
Word of Life Christian Center,Lone Tree,CO,2000,"Independent, Nondenominational"
Greenwood Community Church,Greenwood Village,CO,2200,Evangelical Presbyterian Church
Jubilee Fellowship Church,Lone Tree,CO,2500,"Independent, Nondenominational"
LifeBridge Christian Church,Longmont,CO,3121,CHRISTIAN
Mission Hills Church,Littleton,CO,3600,Baptist General Conference
Faith Bible Chapel,Arvada,CO,5000,"Independent, Nondenominational"
Faith Evangelical Free Church,Fort Collins,CO,2000,Evangelical Free
First Presbyterian Church,Colorado Springs,CO,2495,"Presbyterian Church, U.S.A."
Flatirons Community Church,Lafayette,CO,15495,Evangelical
Foothills Bible Church,Littleton,CO,2000,"Independent, Nondenominational"
Southeast Christian Church,Parker,CO,3554,CHRISTIAN
Timberline Church,Fort Collins,CO,6022,Assemblies of God
Valley Community Baptist Church,Avon,CT,2000,Baptist General Conference
Faith Church,New Milford,CT,2000,"Independent, Nondenominational"
New Beginnings Community Church,Darien,CT,2000,"Independent, Nondenominational"
Crossroads Community Cathedral,E. Hartford,CT,2000,Assemblies of God
First Cathedral,Bloomfield,CT,3500,Baptist (unspecified)
Walnut Hill Community Church,Bethel,CT,2500,Evangelical
Black Rock Congregational Church,Fairfield,CT,2000,"Independent, Nondenominational"
Kingdom Life Christian Church,Milford,CT,2500,"Independent, Nondenominational"
Greater Mt. Calvary Holy Church,Washington,DC,3500,Pentecostal (unspecified)
Rhema Christian Center Church,Washington,DC,2000,"Independent, Nondenominational"
Saint Columba’s Episcopal Church,Washington,DC,1800,Episcopal
Bible Way Temple,Washington,DC,3500,Unknown (unspecified)
Shiloh Baptist Church,Washington,DC,2000,Baptist (unspecified)
Temple of Praise,Washington,DC,4000,"Independent, Nondenominational"
International Ethiopian Evangelical Church,Washington,DC,1800,Assemblies of God
Victorious Life Church,Wesley Chapel,FL,3000,Assemblies of God
Victory Church,Lakeland,FL,3001,Assemblies of God
Village View Community Church,Summerfield,FL,2500,"Church of God, Cleveland"
Westside Baptist Church,Gainesville,FL,1800,Southern Baptist Convention
Winners Church,West Palm Beach,FL,2000,International Pentecostal Holiness Church
Without Walls International Church,Tampa,FL,3000,Unknown (unspecified)
Woodland – The Community Church,Bradenton,FL,2001,Unknown (unspecified)
Church of Hope,Sarasota,FL,2237,Assemblies of God
Community Christian Church,Tamarac,FL,1971,CHRISTIAN
Northstar Church,Panama City,FL,2000,"Independent, Nondenominational"
Abundant Living Ministries of Pembroke Pines,Pembroke Pines,FL,2000,International Pentecostal Holiness Church
Alpha and Omega Church,Miami,FL,2100,"Independent, Nondenominational"
Anastasia Baptist Church,Saint Augustine,FL,1510,Southern Baptist Convention
Antioch Missionary Baptist Church,Miami Gardens,FL,7000,Missionary Baptist
Bay Life Church,Brandon,FL,2500,Southern Baptist Convention
Bayside Community Church,Bradenton,FL,2000,Unknown (unspecified)
Beach United Methodist Church,Jacksonville Beach,FL,2069,United Methodist Church
Bell Shoals Baptist Church,Brandon,FL,2985,Southern Baptist Convention
Bethel Baptist Institutional Church,Jacksonville,FL,12000,Baptist (unspecified)
Bethel Missionary Baptist Church,Tallahassee,FL,6000,Missionary Baptist
Calvary Baptist Church,Clearwater,FL,2419,Southern Baptist Convention
Calvary Chapel Fort Lauderdale,Fort Lauderdale,FL,16283,Calvary Churches
Calvary Chapel Kendall,Miami,FL,2200,Calvary Churches
Calvary Chapel of Melbourne,West Melbourne,FL,10000,Calvary Churches
Calvary Chapel of Saint Petersburg,Pinellas Park,FL,3500,Calvary Churches
Calvary Christian Center,Ormond Beach,FL,7120,"Independent, Nondenominational"
Campus Church,Pensacola,FL,7000,CHRISTIAN
Christian Life Center,Fort Lauderdale,FL,3500,Assemblies of God
Grace Family Church,Lutz,FL,6187,Unknown (unspecified)
Grace Fellowship,West Palm Beach,FL,4000,Unknown (unspecified)
Gulf Breeze United Methodist Church,Gulf Breeze,FL,2324,United Methodist Church
Idlewild Baptist Church,Lutz,FL,7000,Southern Baptist Convention
Iglesia Cristiana Segadores De Vida,Hollywood,FL,7000,"Independent, Nondenominational"
Iglesia El Calvario Assembly of God,Orlando,FL,5250,Assemblies of God
La Catedral del Pueblo,Miami,FL,2000,"Independent, Nondenominational"
Life Center Church,Eatonville,FL,2500,Unknown (unspecified)
LifePoint Community Church,Tampa,FL,2200,Southern Baptist Convention
McGregor Baptist Church,Fort Myers,FL,3453,Southern Baptist Convention
Meadowbrook Church,Ocala,FL,3001,"Independent, Nondenominational"
Miami Vineyard Community Church,Miami,FL,2000,Vineyard
Ministerio Internacional El Rey Jesus,Miami,FL,5500,"Independent, Nondenominational"
Mount Bethel Baptist Church,Fort Lauderdale,FL,2000,Baptist (unspecified)
Mount Olive Baptist Church,Fort Lauderdale,FL,3000,Baptist (unspecified)
New Birth Baptist Church,Miami,FL,9000,Baptist (unspecified)
New Covenant Baptist Church,Orlando,FL,2200,Baptist (unspecified)
New Destiny Christian Center,Apopka,FL,2000,Unknown (unspecified)
New Dimensions Christian Center,Pensacola,FL,3300,"Independent, Nondenominational"
New Life Christian Fellowship,Jacksonville,FL,2000,"Independent, Nondenominational"
